Sample ID,YRI,CHB,CHD,TSI,MKK,CEU,LWK,African,European,Asian,Calculated Race,Calculated Ethnicity
15918_T_1_S32116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,White,Non-Hispanic
10016_T_1_S32188,0.0,0.0,0.0,0.2734,0.0306,0.696,0.0,0.0306,0.9693999999999999,0.0,White,Non-Hispanic
